initial position index,timestep,posD,thetaD,dposD,dthetaD,FD
1,9,-0.627922658,-0.07260635,-0.129121504,-0.124010858,2.000000016
1,10,-0.631066109,-0.076849504,-0.028629844,-0.088576816,2.000000016
1,11,-0.630251577,-0.079721121,0.068964886,-0.055294958,2.000000019
1,12,-0.62557295,-0.081290956,0.164752445,-0.023355798,2.000000015
1,13,-0.61708152,-0.081597118,0.259777067,0.008016467,2.000000018
1,14,-0.604787287,-0.08064704,0.355063536,0.039583299,2.000000014
1,15,-0.588659215,-0.078417658,0.451643327,0.072111091,2.000000012
1,16,-0.568624437,-0.074854835,0.550580728,0.106390464,2.00000001
1,17,-0.544566427,-0.069872002,0.6529988,0.143255643,2.000000007
1,18,-0.516322137,-0.063348026,0.760104639,0.183603747,2.000000002
1,19,-0.483678161,-0.055124317,0.873212593,0.228413391,1.999999994
1,20,-0.446366058,-0.045001234,0.993762608,0.278761171,2.000000005
1,21,-0.404057111,-0.032733903,1.123328439,0.335833254,1.999999948
1,22,-0.356357116,-0.018027759,1.263606533,0.400927092,1.999999845
1,23,-0.304059239,-0.001163205,1.353434228,0.443927612,1.215271171
1,24,-0.253053533,0.015045702,1.19892642,0.368088063,-1.999999405
1,25,-0.207992206,0.028399008,1.055900741,0.300898446,-1.999999885
1,26,-0.168453557,0.039213287,0.922483534,0.240899382,-1.999999711
1,27,-0.134089693,0.047748339,0.796867698,0.186715109,-1.999999719
1,28,-0.104623029,0.054210806,0.677347623,0.137063591,-1.999999693
1,29,-0.079842088,0.058757827,0.562322069,0.090749675,-1.999999629
1,30,-0.059597593,0.061500216,0.450278954,0.046648911,-1.999999509
1,31,-0.043799369,0.062504875,0.339770464,0.003686538,-1.999999279
1,32,-0.032414361,0.061796322,0.229383253,-0.039185875,-1.999999574
1,33,-0.02546588,0.059357267,0.117706969,-0.083014538,-1.99999754
1,34,-0.023034137,0.0551282,0.003301795,-0.128868044,-1.999997477
1,35,-0.025257959,0.049006066,-0.115328093,-0.177859076,-1.999957114
1,36,-0.027275789,0.043371831,0.013754801,-0.104374938,1.172171185
1,37,-0.025663451,0.039892581,0.066421426,-0.069921033,0.254429569
1,38,-0.023248803,0.037127597,0.053950408,-0.068598985,-0.533347813
1,39,-0.02115531,0.034493544,0.050381472,-0.063361219,-0.395244119
1,40,-0.019223489,0.032049478,0.045891098,-0.059081311,-0.382016965
1,41,-0.017474245,0.029765756,0.041273239,-0.055328496,-0.360518887
1,42,-0.015889991,0.027633241,0.037661224,-0.051506202,-0.326323004
1,43,-0.014446263,0.025647422,0.034265865,-0.04797938,-0.303472798
1,44,-0.013132452,0.023798015,0.031183094,-0.044672363,-0.280798291
